,id,full_name,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,survey_response
450,858,Matt,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,31/12/18,85,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
451,1529,Ann,Wednesday,ALASKA,LOS ANGELES,West US,    Hub,Gates 40-48,31/12/18,120,Somewhat clean,Somewhat safe,Very satisfied,Value3
452,2788,George,Sunday,WOW,REYKJAVIK,eur,    Small,Gates 1-12,31/12/18,175,Somewhat clean,Somewhat safe,Neutral,Value3
453,2517,Ann,Saturday,UNITED,NEWARK,East US,Hub,Gates 70-90,31/12/18,130,Somewhat clean,Very safe,Somewhat satsified,Value3
454,792,Jennifer,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,31/12/18,130,Somewhat clean,Very safe,Neutral,Value2
455,2056,Jennifer,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,31/12/18,180,Clean,Very safe,Very satisfied,Value2
456,3184,Sam,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,31/12/18,120,Clean,Somewhat safe,Neutral,Value2
457,1767,Matt,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,31/12/18,80,Clean,Very safe,Very satisfied,Value2
458,1192,Sam,Tuesday,SOUTHWEST,LAS VEGAS,West US,    Hub,Gates 20-39,31/12/18,30,Clean,Very safe,Very satisfied,Value2
459,1211,Jennifer,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,31/12/18,75,Clean,Very safe,Very satisfied,Value3
461,864,Jennifer,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,31/12/18,235,Somewhat clean,Somewhat safe,Neutral,Value2
462,817,Sam,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,31/12/18,140,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
463,832,Sam,Sunday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,31/12/18,185,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
464,272,Ann,Thursday,UNITED,LOS ANGELES,West US,Hub     ,Gates 70-90,31/12/18,70,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
465,1196,Ann,Tuesday,SOUTHWEST,LAS VEGAS,West US,    Hub,Gates 20-39,31/12/18,145,Somewhat dirty,Neutral,Somewhat unsatisfied,Value2
466,2205,Matt,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,31/12/18,365,Clean,Very safe,Somewhat satsified,Value2
467,2264,Sam,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,31/12/18,125,Average,Somewhat safe,Very satisfied,Value3
468,1504,Jennifer,Wednesday,DELTA,LOS ANGELES,West US,Hub     ,Gates 40-48,31/12/18,105,Somewhat clean,Very safe,Somewhat satsified,Value3
469,1489,Matt,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium     ,Gates 1-12,31/12/18,135,Somewhat clean,Very safe,Somewhat satsified,Value3
470,497,Ann,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,31/12/18,101,Somewhat clean,Very safe,Somewhat satsified,Value2
471,1115,Ann,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,31/12/18,120,Somewhat clean,Neutral,Neutral,Value3
472,1532,Ann,Wednesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,31/12/18,161,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
473,3093,Ann,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,31/12/18,127,Somewhat dirty,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
474,1762,Jennifer,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,31/12/18,415,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
475,2023,Matt,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,31/12/18,190,Somewhat clean,Somewhat safe,Neutral,Value2
476,2495,Jennifer,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,31/12/18,109,Somewhat clean,Somewhat safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
477,658,George,Friday,UNITED INTL,MUNICH,Europe,Hub,Gates 91-102,31/12/18,445,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
478,781,Ann,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,31/12/18,160,Somewhat clean,Somewhat safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
479,2330,Matt,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,    Hub,Gates 40-48,31/12/18,125,Somewhat clean,Very safe,Somewhat satsified,Value3
480,3220,Ann,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,31/12/18,90,Clean,Somewhat safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
481,1474,Matt,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,31/12/18,160,Clean,Very safe,Very satisfied,Value3
482,250,Sam,Thursday,UNITED,NASHVILLE,Midwest US,Medium,Gates 70-90,31/12/18,160,Average,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
483,1120,George,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,31/12/18,120,Average,Neutral,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
484,2422,Jennifer,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,31/12/18,160,Somewhat clean,Neutral,Neutral,Value2
485,414,George,Sunday,UNITED,HOUSTON-BUSH,Midwest US,Hub,Gates 70-90,31/12/18,182,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
486,2289,George,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub     ,Gates 1-12,31/12/18,165,Somewhat clean,Very safe,Very satisfied,Value2
487,254,Ann,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,115,Clean,Very safe,Somewhat satsified,Value3
488,3022,Jennifer,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,31/12/18,75,Somewhat clean,Neutral,Somewhat satsified,Value2
490,513,Ann,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,31/12/18,58,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
491,3181,Matt,Thursday,DELTA,LOS ANGELES,West US,    Hub,Gates 40-48,31/12/18,150,Somewhat clean,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
492,2459,Ann,Friday,UNITED,DENVER,West US,Hub,Gates 70-90,31/12/18,86,Clean,Very safe,Somewhat satsified,Value3
493,2123,George,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,31/12/18,259,Clean,Very safe,Very satisfied,Value2
494,1343,Jennifer,Tuesday,UNITED INTL,KANSAI,Asia,    Hub,Gates 91-102,31/12/18,125,Average,Somewhat unsafe,Neutral,Value3
495,2851,George,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,31/12/18,112,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
496,481,George,Sunday,ALASKA,PORTLAND,West US,    Medium,Gates 50-59,31/12/18,193,Average,Very safe,Somewhat satsified,Value2
497,2870,Matt,Wednesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,31/12/18,167,Somewhat clean,Very safe,Somewhat satsified,Value2
498,1516,Ann,Wednesday,INTERJET,GUADALAJARA,Canada/Mexico,Medium     ,Gates 1-12,31/12/18,135,Clean,Very safe,Somewhat satsified,Value3
500,2391,Matt,Wednesday,UNITED INTL,BEIJING,Asia,    Hub,Gates 91-102,31/12/18,165,Clean,Very safe,Very satisfied,Value3
501,2137,George,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,31/12/18,295,Average,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
502,1815,Ann,Monday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,31/12/18,155,Somewhat clean,Very safe,Somewhat satsified,Value2
503,2479,Jennifer,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,31/12/18,139,Clean,Very safe,Somewhat satsified,Value3
504,3082,George,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,31/12/18,97,Clean,Very safe,Somewhat satsified,Value2
505,749,George,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,31/12/18,150,Clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
506,1990,Jennifer,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,    Hub,Gates 1-12,31/12/18,205,Average,Neutral,Neutral,Value3
507,1381,Sam,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,31/12/18,175,Somewhat clean,Somewhat safe,Neutral,Value3
508,1174,Jennifer,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,31/12/18,120,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
509,2007,Matt,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,215,Somewhat clean,Very safe,Somewhat satsified,Value3
510,1685,Matt,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,31/12/18,185,Clean,Very safe,Very satisfied,Value3
511,445,Matt,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,31/12/18,218,Clean,Very safe,Somewhat satsified,Value2
513,1967,Matt,Friday,CATHAY PACIFIC,HONG KONG,Asia,    Hub,Gates 1-12,31/12/18,170,Average,Neutral,Neutral,Value2
514,2371,Matt,Tuesday,JETBLUE,FT. LAUDERDALE,East US,Large,Gates 1-12,31/12/18,131,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
515,671,Sam,Thursday,UNITED,NEWARK,East US,Hub,Gates 70-90,31/12/18,165,Clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
517,1169,Sam,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,31/12/18,100,Somewhat clean,Very safe,Somewhat satsified,Value3
519,745,George,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub     ,Gates 91-102,31/12/18,145,Somewhat clean,Very safe,Somewhat satsified,Value3
520,2812,Matt,Thursday,DELTA,LOS ANGELES,West US,    Hub,Gates 40-48,31/12/18,115,Average,Somewhat safe,Somewhat unsatisfied,Value3
521,2760,Sam,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,31/12/18,210,Clean,Very safe,Very satisfied,Value2
523,1679,Matt,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,31/12/18,205,Average,Neutral,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
524,2609,Ann,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,31/12/18,177,Clean,Neutral,Somewhat satsified,Value3
525,2327,Jennifer,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,31/12/18,95,Average,Neutral,Neutral,Value3
526,1313,George,Thursday,JETBLUE,NEW YORK-JFK,EAST US,    Hub,Gates 1-12,31/12/18,96,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
527,1019,Jennifer,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,31/12/18,110,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
528,846,Jennifer,Tuesday,ALASKA,PORTLAND,West US,Medium     ,Gates 50-59,31/12/18,274,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
529,1460,Ann,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,31/12/18,100,Average,Somewhat safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
530,309,Ann,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,31/12/18,302,Clean,Very safe,Very satisfied,Value3
531,2761,Ann,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,31/12/18,110,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
533,2066,Ann,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,31/12/18,117,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
535,2005,Matt,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,31/12/18,155,Clean,Somewhat safe,Neutral,Value3
536,102,Matt,Tuesday,UNITED,WASHINGTON DC-DULLES,EAST US,Medium     ,Gates 70-90,31/12/18,200,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
537,2491,Jennifer,Friday,ALASKA,SALT LAKE CITY,West US,    Medium,Gates 1-12,31/12/18,150,Average,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
538,1167,Matt,Thursday,DELTA,NEW YORK-JFK,EAST US,    Hub,Gates 40-48,31/12/18,100,Clean,Neutral,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
539,1660,Jennifer,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,31/12/18,165,Average,Neutral,Neutral,Value2
540,3125,Matt,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,31/12/18,110,Somewhat clean,Somewhat safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
541,2906,George,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,31/12/18,315,Clean,Very safe,Very satisfied,Value2
542,1227,Sam,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,31/12/18,105,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
543,641,Ann,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,31/12/18,115,Clean,Very safe,Very satisfied,Value2
544,1478,Ann,Tuesday,ALASKA,NEW YORK-JFK,EAST US,    Hub,Gates 50-59,31/12/18,230,Average,Neutral,Neutral,Value2
546,1797,Jennifer,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,31/12/18,95,Clean,Very safe,Somewhat satsified,Value2
547,381,George,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,31/12/18,165,Clean,Neutral,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
549,2180,Jennifer,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub     ,Gates 1-12,31/12/18,195,Average,Neutral,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
550,2901,Jennifer,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,31/12/18,185,Somewhat clean,Neutral,Somewhat satsified,Value3
552,2965,Sam,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,31/12/18,135,Somewhat clean,Very safe,Somewhat satsified,Value3
553,1654,George,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,31/12/18,225,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
555,1513,Matt,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,120,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
556,1628,Jennifer,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,31/12/18,180,Average,Very safe,Somewhat satsified,Value3
557,274,Jennifer,Thursday,UNITED,LOS ANGELES,West US,Hub,Gates 70-90,31/12/18,70,Somewhat clean,Somewhat safe,Very satisfied,Value2
558,1745,Jennifer,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,90,Average,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
559,1469,Matt,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,31/12/18,160,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
561,406,George,Sunday,UNITED,HOUSTON-BUSH,Midwest US,Hub,Gates 70-90,31/12/18,117,Clean,Very safe,Neutral,Value3
562,2219,Matt,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,31/12/18,120,Somewhat clean,Very safe,Somewhat satsified,Value3
564,2477,Matt,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,31/12/18,75,Clean,Very safe,Very satisfied,Value3
565,2374,Matt,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,31/12/18,120,Average,Neutral,Somewhat satsified,Value3
566,447,Ann,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,31/12/18,83,Average,Very safe,Somewhat satsified,Value2
567,1353,Sam,Tuesday,UNITED INTL,SHANGHAI,Asia,    Hub,Gates 91-102,31/12/18,120,Somewhat dirty,Neutral,Neutral,Value3
568,2382,George,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,31/12/18,165,Somewhat clean,Very safe,Very satisfied,Value2
569,1142,Sam,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,31/12/18,60,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
570,2317,Jennifer,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,31/12/18,315,Average,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
571,1249,Matt,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,31/12/18,120,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
572,2655,Matt,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,31/12/18,117,Average,Somewhat safe,Neutral,Value3
573,2604,Ann,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,31/12/18,120,Clean,Somewhat safe,Somewhat satsified,Value2
574,1510,Ann,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,31/12/18,120,Somewhat clean,Very safe,Neutral,Value2
575,1232,Matt,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,31/12/18,105,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
576,2322,Jennifer,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,    Hub,Gates 1-12,31/12/18,705,Average,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
578,2487,George,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,31/12/18,159,Clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
579,2243,Matt,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,31/12/18,65,Average,Neutral,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
581,1449,Matt,Wednesday,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,31/12/18,202,Clean,Very safe,Very satisfied,Value2
582,2032,Matt,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,31/12/18,105,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
583,1588,Matt,Wednesday,UNITED INTL,HONG KONG,Asia,Hub     ,Gates 91-102,31/12/18,120,Clean,Somewhat safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
584,3194,Ann,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,464,Clean,Very safe,Very satisfied,Value2
585,3116,Matt,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,31/12/18,215,Somewhat clean,Neutral,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
586,2920,Ann,Thursday,DELTA,SEATTLE,West US,    Hub,Gates 40-48,31/12/18,180,Dirty,Neutral,Very unsatisfied,Value3
587,1440,Sam,Saturday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,31/12/18,220,Somewhat clean,Very safe,Neutral,Value3
588,1596,George,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,31/12/18,210,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
589,2207,George,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,31/12/18,180,Clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
590,2651,George,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,31/12/18,162,Somewhat clean,Very safe,Very satisfied,Value2
592,2133,Jennifer,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,31/12/18,125,Somewhat clean,Neutral,Somewhat satsified,Value3
594,343,Sam,Friday,ALASKA,SAN DIEGO,West US,    Medium,Gates 50-59,31/12/18,156,Somewhat clean,Neutral,Somewhat satsified,Value2
595,1455,Jennifer,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,31/12/18,220,Average,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
596,901,Matt,Friday,AIR CANADA,TORONTO,Canada/Mexico,    Hub,Gates 91-102,31/12/18,140,Somewhat clean,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
597,1186,George,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,31/12/18,75,Somewhat clean,Neutral,Neutral,Value2
598,554,Ann,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,31/12/18,265,Average,Very safe,Somewhat satsified,Value3
599,333,Ann,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,31/12/18,66,Clean,Somewhat safe,Somewhat satsified,Value2
601,2437,Ann,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,31/12/18,220,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
602,3012,Jennifer,Tuesday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,31/12/18,150,Clean,Very safe,Neutral,Value2
603,1666,Sam,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,31/12/18,205,Somewhat clean,Neutral,Somewhat satsified,Value3
604,2008,Ann,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,31/12/18,90,Clean,Very safe,Very satisfied,Value2
606,2998,Sam,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,31/12/18,63,Average,Very safe,Somewhat satsified,Value3
607,3111,Sam,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,31/12/18,183,Clean,Very safe,Very satisfied,Value3
608,577,Sam,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,31/12/18,103,Clean,Neutral,Very satisfied,Value3
610,3163,Matt,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,31/12/18,75,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
611,2956,Sam,Tuesday,AMERICAN,NEW YORK-JFK,EAST US,Hub     ,Gates 50-59,31/12/18,130,Somewhat clean,Very safe,Somewhat satsified,Value3
612,874,George,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,31/12/18,100,Clean,Very safe,Somewhat satsified,Value2
613,3177,George,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,120,Average,Somewhat safe,Neutral,Value2
614,831,Matt,Sunday,ALASKA,NASHVILLE,Midwest US,Medium,Gates 50-59,31/12/18,96,Clean,Very safe,Very satisfied,Value3
615,2379,Sam,Wednesday,UNITED INTL,BEIJING,Asia,    Hub,Gates 91-102,31/12/18,250,Somewhat clean,Somewhat safe,Very satisfied,Value2
616,2006,George,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,170,Somewhat clean,Very safe,Somewhat satsified,Value2
617,3239,Ann,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,31/12/18,95,Clean,Very safe,Very satisfied,Value2
618,2825,Ann,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,31/12/18,93,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
620,2201,Ann,Thursday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,31/12/18,165,Clean,Very safe,Somewhat satsified,Value3
621,644,Ann,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,31/12/18,125,Clean,Very safe,Somewhat satsified,Value2
622,1286,George,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,31/12/18,120,Clean,Very safe,Very satisfied,Value3
623,3042,George,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,31/12/18,150,Clean,Very safe,Very satisfied,Value2
625,336,Matt,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,31/12/18,96,Clean,Very safe,Somewhat satsified,Value2
627,2426,George,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,31/12/18,85,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
629,3225,Ann,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,31/12/18,214,Somewhat clean,Somewhat safe,Neutral,Value3
630,1598,Jennifer,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,31/12/18,150,Clean,Very safe,Somewhat satsified,Value2
631,2552,Sam,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,31/12/18,63,Somewhat clean,Neutral,Somewhat satsified,Value2
632,2802,Ann,Tuesday,SOUTHWEST,PHOENIX,West US,Hub     ,Gates 20-39,31/12/18,120,Clean,Very safe,Somewhat satsified,Value2
